Number,Source.Url,Country,Region,Class,Project.Approval.Date,Project.Location,Project.Description,Goal.Project.Number,Objectives,Goal.Contribution,Fap.Contribution,Ma.Contribution,Other.Contribution,TotalBudget,Total.Paid,Fifa.points.2015,Fifa.rank.2015,Fifa.points.2000,Fifa.rank.2000,diff_rank,diff_points,id,Project.Approval.Year
p123,http://www.fifa.com/associations/association=cmr/development-activities/goal/index.html,Cameroon,SUB-SAHARAN AFRICA,Football pitch,18.03.2008,Yaoundé,Installation of an artificial turf pitch at the technical centre,2,The objective of this project is;-to improve the training of all players,400000,221000,0,0,621000,621000,646,45,579,35,-10,-67,CMR,2008
p124,http://www.fifa.com/associations/association=cmr/development-activities/goal/index.html,Cameroon,SUB-SAHARAN AFRICA,Technical centre,05.05.2004,Yaoundé,Construction of the technical centre. The project includes: accommodation and a cafeteria,1,The objective of this project is;-to provide the association with adequate infrastructure,400000,472810,0,225000,872810,1097810,646,45,579,35,-10,-67,CMR,2004
p125,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Football pitch,18.10.2011,Kinshasa,Installation of an artificial turf pitch at the technical centre,6,The objective of this project is;-to improve the training of the different football teams,500000,0,0,0,500000,500000,641,46,491,69,23,-150,COD,2011
p126,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Football pitch,28.02.2011,Kinshasa,Installation of an artificial turf pitch at the technical centre,5,The objective of this project is;-to improve the training of the different football teams,500000,0,0,0,500000,500000,641,46,491,69,23,-150,COD,2011
p127,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Football pitch,15.03.2010,Kinshasa,Installation of an artificial turf pitch at the Tata Raphael stadium in Kinshasa,4,The objective of this project is;-to improve the playing conditions and the end results,400000,0,0,178057,400000,578057,641,46,491,69,23,-150,COD,2010
p128,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Football pitch,22.10.2008,Lubumbashi,Installation of an artificial turf pitch at the Kenya stadium,3,The objective of this project is;-to improve the playing conditions and the end results,400304,23147,0,757432,423451,1157432,641,46,491,69,23,-150,COD,2008
p129,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Headquarters,10.05.2005,Kinshasa,Extension of the association’s headquarters and technical centre,2,The objective of this project is;-to help the association to optimise the use of the headquarters and the technical centre,398979,0,0,0,398979,398979,641,46,491,69,23,-150,COD,2005
p130,http://www.fifa.com/associations/association=cod/development-activities/goal/index.html,Congo DR,SUB-SAHARAN AFRICA,Technical centre,02.11.2002,Kinshasa,"Construction of the technical centre. The project includes: dormitories, a kitchen and a cafeteria",1,The objective of this project is;-to enable the association to use the technical centre for the training of all of its national teams,400000,176853,0,0,576853,576852,641,46,491,69,23,-150,COD,2002
p131,http://www.fifa.com/associations/association=cok/development-activities/goal/index.html,Cook Islands,OCEANIA,Other,27.03.2012,Rarotonga Aitutaki,"Completion of the work initiated under previous Goal projects. The project includes: accommodation, dining, kitchen and recreation facilities, accommodation, a gymnasium and furnishings;The project also includes;construction of administration and technical offices at the regional technical centre in Aitutaki. The project includes: an education centre and accommodation",5,The objectives of this project are;-to provide additional accommodation capacity at the national technical centre in Rarotonga;-to facilitate and improve the residential U-17 talented youth programme that relocates youth players from the outer islands to Rarotonga for a 12-15 month period;-to create a regional technical centre on Aitutaki island to achieve the association’s development strategies;- to provide local development programmes and activities for grassroots and talented youth players (men and women),500000,2609,0,0,502609,481476,4,206,151,170,-36,147,COK,2012
p132,http://www.fifa.com/associations/association=cok/development-activities/goal/index.html,Cook Islands,OCEANIA,Headquarters,15.03.2010,Rarotonga,"Completion of the work initiated under Goal project I. The project includes: administration and management offices, a gymnasium, equipment, a dormitory, accommodation and upgrading of a natural turf pitch",4,The objectives of this project are;-to improve the quality of the playing and training pitches;-to deliver headquarters and administrative offices befitting a football association;-to provide adequate infrastructure for the organisation of specific technical programmes and activities,400000,0,0,0,400000,400000,4,206,151,170,-36,147,COK,2010
p133,http://www.fifa.com/associations/association=cok/development-activities/goal/index.html,Cook Islands,OCEANIA,Technical centre,22.10.2008,Rarotonga,Completion of the work initiated under Goal project II at the national technical centre. The project includes: construction of the tribune (500 seats) and media facilities,3,"The objectives of this project are;-to provide adequate facilities for players, match officials, media and the public;-to increase revenue;-to provide independence to implement all football activities ñ national and local ñ in the country;-to promote and market football participation through excellence in facilities and activities",399250,0,0,0,399250,399250,4,206,151,170,-36,147,COK,2008
p134,http://www.fifa.com/associations/association=cok/development-activities/goal/index.html,Cook Islands,OCEANIA,Technical centre,07.11.2005,Rarotonga,"Extension of the technical centre. The project includes: team and match officials’ changing rooms, media and PA facilities, public toilets and services",2,"The objectives of this project are;- to provide adequate facilities for players, match officials, media and the public;-to increase opportunities to participate in organised competitions for all categories;-to provide independence to implement all national and local football activities in the country",400000,44054,0,0,444054,444054,4,206,151,170,-36,147,COK,2005
p135,http://www.fifa.com/associations/association=cok/development-activities/goal/index.html,Cook Islands,OCEANIA,Headquarters,13.02.2001,Rarotonga,"Construction of administration and management offices, an education centre, dining and kitchen facilities, changing rooms, accommodation for players and coaches, an international standard natural turf pitch, a training area, maintenance and turf equipment and security fencing",1,"The objectives of this project are;- to have ownership and undisrupted access to playing facilities for the establishment of regular competitions;-to provide adequate infrastructure for the training and education of national teams;-to organise courses, youth development and grassroots programmes;-to deliver headquarters and administrative offices befitting a football association",400000,229000,0,0,643000,629000,4,206,151,170,-36,147,COK,2001
p136,http://www.fifa.com/associations/association=col/development-activities/goal/index.html,Colombia,LATIN AMER. & CARIB,Technical centre,03.09.2013,Bogota,"Construction of the third phase of the National Technical Centre in Bogota, including installation of elevators, signage, building lights and lighting for the playing field.",3,"ï Complete the Technical Centre and provide the MA with a location for training of the national teams;ï Increase the availability (practice hours) of the playing field;ï Provide adequate signage, accessibility and mobility for the facility",500000,0,0,0,500000,NA,1456,3,668,16,13,-788,COL,2013
p137,http://www.fifa.com/associations/association=col/development-activities/goal/index.html,Colombia,LATIN AMER. & CARIB,Technical centre,25.09.2012,Bogota,"National technical centre (3 football fields, reconstruction of changing rooms and 3-floor building to be used as hotel and offices).",2,The objective of this project is to provide the MA with adequate facilities to prepare for their national teams and to lower costs of hotel accommodation for national teams. This project will allow the completion of the second phase of the building,500000,0,0,0,500000,404762,1456,3,668,16,13,-788,COL,2012
p138,http://www.fifa.com/associations/association=col/development-activities/goal/index.html,Colombia,LATIN AMER. & CARIB,Technical centre,01.05.2003,Bogota,"Construction of the national technical centre. The project includes: accommodation, an auditorium and offices",1,The objectives of this project are;-to provide a venue for the training of the national teams;-to reduce accommodation costs,400000,450000,270000,0,1120000,850000,1456,3,668,16,13,-788,COL,2003
p139,http://www.fifa.com/associations/association=com/development-activities/goal/index.html,Comoros,SUB-SAHARAN AFRICA,Football pitch,19.03.2014,Moroni,"Installation of a football turf pitch at the national stadium in Moroni, Comoros Islands.",5,"nstall an artificial turf at the national stadium in Moroni, with the following objectives;1) Improve the overall quality of the football pitches in the country.;2) Enable a sustained use of the national stadium for the national league (first and second division).;3) Reduce costs (water and maintenance).;4) Expand activities in the domain of junior and women’s football.",500000,0,0,0,500000,NA,75,174,NA,NA,174,75,COM,2014
p140,http://www.fifa.com/associations/association=com/development-activities/goal/index.html,Comoros,SUB-SAHARAN AFRICA,Other,18.10.2011,"Grande Comore island, Anjouan island, Moheli island",The project consists of two parts: the renovation of three football pitches and the construction of a main spectator stand in the Moroni Stadium and the activation of the “TWAMAYA” football academy,4,The objectives of this project are;-to upgrade the football pitches in the stadium;-to improve training conditions for players;-to ensure the development of youth football,500000,0,0,0,500000,499118,75,174,NA,NA,174,75,COM,2011
p141,http://www.fifa.com/associations/association=com/development-activities/goal/index.html,Comoros,SUB-SAHARAN AFRICA,Technical centre,02.06.2009,"Grande Comore island, Anjouan island, Moheli island","Renovation and rehabilitation of existing football facilities in three different venues. The project consists of: rehabilitation of three football pitches in Comoros (1 in Anjouan, 1 in Moheli and 1 in Grande Comore) and renovation of a technical centre in Moheli. It also includes fitness and football equipment for the national technical centre in Mitsamouili",3,"The objective of this project is;-to allow the association to organise courses, seminars and activities in the technical centre",400000,0,0,0,400000,400000,75,174,NA,NA,174,75,COM,2009
p142,http://www.fifa.com/associations/association=com/development-activities/goal/index.html,Comoros,SUB-SAHARAN AFRICA,Football academy,24.03.2007,Grande Comore,Completion of the “TWAMAYA” national football academy in Mitsamiouli (North of Grande Comore),2,"The objectives of the project are;-to provide the national football academy with the onlystadium in the country, which has comfortable accommodation for the national teams, and teaching and meeting rooms",400000,116637,0,0,516637,504637,75,174,NA,NA,174,75,COM,2007
p143,http://www.fifa.com/associations/association=com/development-activities/goal/index.html,Comoros,SUB-SAHARAN AFRICA,Headquarters,07.11.2005,Grande Comore,Construction of the national association’s headquarters in Moroni and of the national “TWAMAYA” football academy in Mitsamiouli (North of Grande Comore),1,"The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to organise courses, seminars and activities for the development of youth football",398920,0,0,0,398920,398920,75,174,NA,NA,174,75,COM,2005
p144,http://www.fifa.com/associations/association=cpv/development-activities/goal/index.html,Cape Verde Islands,SUB-SAHARAN AFRICA,Technical centre,19.03.2014,Sal Island,Construction of a Regional Technical Centre on Sal Island.,4,"Build a Regional Technical Centre on Sal Island (northern Barlavento Islands), with the following objectives;1) Decentralise football development.;2) Organise grassroots activities.;3) Enable the training of young players (boys and girls).;4) Enable the organisation of local league matches.;5) Improve football infrastructure on all the islands of the archipelago.",500000,0,0,0,500000,NA,756,35,201,156,121,-555,CPV,2014
p145,http://www.fifa.com/associations/association=cpv/development-activities/goal/index.html,Cape Verde Islands,SUB-SAHARAN AFRICA,Technical centre,21.03.2007,Mindelo,Construction of a regional technical centre,3,"The objective of this project is;- to organise courses, seminars and activities for the development of youth and women’s football",400000,700000,0,100000,1100000,981566,756,35,201,156,121,-555,CPV,2007
p146,http://www.fifa.com/associations/association=cpv/development-activities/goal/index.html,Cape Verde Islands,SUB-SAHARAN AFRICA,Football pitch,17.02.2004,Praia,Installation of an artificial turf pitch at the technical centre. The project includes sports equipment,2,The objectives of this project are;- to develop youth training programmes at national level;- to complete and develop the previous projects carried out by the association and FIFA,400000,0,0,0,400000,400000,756,35,201,156,121,-555,CPV,2004
p147,http://www.fifa.com/associations/association=cpv/development-activities/goal/index.html,Cape Verde Islands,SUB-SAHARAN AFRICA,Headquarters,04.07.2001,Praia,Construction of the headquarters and the technical centre,1,"The objectives of this project are;- to deliver the headquarters and a technical centre befitting a football association;- to organise courses, seminars and activities for the development of youth and women’s football",400000,471233,0,0,871233,871235,756,35,201,156,121,-555,CPV,2001
p148,http://www.fifa.com/associations/association=crc/development-activities/goal/index.html,Costa Rica,LATIN AMER. & CARIB,Technical centre,14.10.2011,San Rafael de Alajuela,Construction of a hotel Phase 2,5,The objectives of this project are;-to generate revenue;-to reduce accommodation costs,500000,0,0,0,500000,500000,1074,13,530,54,41,-544,CRI,2011
p149,http://www.fifa.com/associations/association=crc/development-activities/goal/index.html,Costa Rica,LATIN AMER. & CARIB,Technical centre,26.10.2010,San Rafael de Alajuela,Construction of a hotel Phase 1,4,The objectives of this project are;-to generate revenue;-to reduce accommodation costs,400000,0,0,0,400000,400000,1074,13,530,54,41,-544,CRI,2010
p150,http://www.fifa.com/associations/association=crc/development-activities/goal/index.html,Costa Rica,LATIN AMER. & CARIB,Headquarters,02.06.2009,San Rafael de Alajuela,"Extension of the technical centre and headquarters. The project includes: changing rooms, a kitchen and canteen, a medical clinic and rest area, and a gymnasium. Phase 3",3,The objectives of this project are;-to improve the region’s football facilities,400000,13500,50000,0,463500,413500,1074,13,530,54,41,-544,CRI,2009
p151,http://www.fifa.com/associations/association=crc/development-activities/goal/index.html,Costa Rica,LATIN AMER. & CARIB,Headquarters,21.03.2007,San Rafael de Alajuela,Completion of the administrative building in the compound of the technical centre to be used as headquarters for the association. Phase 2,2,The objective of this project is;-to deliver headquarters and a technical centre befitting a football association,400000,0,66000,0,466000,400000,1074,13,530,54,41,-544,CRI,2007
p152,http://www.fifa.com/associations/association=crc/development-activities/goal/index.html,Costa Rica,LATIN AMER. & CARIB,Headquarters,04.07.2001,San Rafael de Alajuela,"Construction of a sporting complex with national headquarters, a technical centre, football pitches, and a gymnasium. Phase 1",1,The objectives of this project are;-to provide the association with adequate facilities;-to deliver headquarters and administrative offices befitting a football association,400000,475000,0,0,1850000,875000,1074,13,530,54,41,-544,CRI,2001
p153,http://www.fifa.com/associations/association=cro/development-activities/goal/index.html,Croatia,EASTERN EUROPE,Headquarters,21.03.2007,Zagreb,Renovation of the existing headquarters facilities. The project includes increased office space,2,The objective of this project is;- to help the association to optimise the use of its headquarters,400000,0,47000,0,447000,400000,945,19,665,17,-2,-280,HRV,2007
p154,http://www.fifa.com/associations/association=cro/development-activities/goal/index.html,Croatia,EASTERN EUROPE,IT projects,22.03.2007,Zagreb,Renovation of the national association’s headquarters. The project consists of an IT upgrade,1,The objective of this project is;- to update the IT system in order to link up all the regional associations electronically,400000,0,0,0,400000,400000,945,19,665,17,-2,-280,HRV,2007
p155,http://www.fifa.com/associations/association=cta/development-activities/goal/index.html,Central African Republic,SUB-SAHARAN AFRICA,Football pitch,18.10.2011,Bangui,Installation of an artificial turf pitch at the national technical centre. The project includes: fences,4,The objective of this project is;-to provide the association with adequate infrastructure;-to improve the security of the centre,500000,0,0,0,500000,NA,178,145,126,176,31,-52,CAF,2011
p156,http://www.fifa.com/associations/association=cta/development-activities/goal/index.html,Central African Republic,SUB-SAHARAN AFRICA,Technical centre,02.06.2009,Bangui,Extension of the technical centre and construction of regional technical centres,3,The objectives of this project are;-to complete the previous project carried out by the association and FIFA;-to improve football facilities at regional level,400000,0,0,0,400000,325479,178,145,126,176,31,-52,CAF,2009
p157,http://www.fifa.com/associations/association=cta/development-activities/goal/index.html,Central African Republic,SUB-SAHARAN AFRICA,Technical centre,07.11.2005,Bangui,Construction of the national technical centre,2,The objectives of this project are;-to organise courses;-to accommodate trainees,400000,20097,0,0,420097,415546,178,145,126,176,31,-52,CAF,2005
p158,http://www.fifa.com/associations/association=cta/development-activities/goal/index.html,Central African Republic,SUB-SAHARAN AFRICA,Headquarters,03.08.2000,Bangui,Rehabilitation of the national stadium in Bangui and construction of the headquarters of the Federation,1,- Necessity of a football stadium for the national championship;- Better administration,591000,121000,0,435,909000,712435,178,145,126,176,31,-52,CAF,2000
p159,http://www.fifa.com/associations/association=cub/development-activities/goal/index.html,Cuba,LATIN AMER. & CARIB,Football pitch,26.10.2010,Havana,Installation of an artificial football pitch at La Polar Stadium. The project includes: improvements to the existing facility,4,The objectives of this projects are;-to provide more facilities for development programmes;-to provide the association with adequate facilities for the training of the national youth teams,400000,0,0,0,400000,NA,271,114,472,75,-39,201,CUB,2010
p160,http://www.fifa.com/associations/association=cub/development-activities/goal/index.html,Cuba,LATIN AMER. & CARIB,Football pitch,26.10.2010,Havana,Installation of an artificial football pitch at La Polar Stadium. The project includes: improvements to the existing facility,3,The objectives of this projects are;-to provide more facilities for development programmes;-to provide the association with adequate facilities for the training of the national teams,400000,0,0,0,400000,NA,271,114,472,75,-39,201,CUB,2010
p161,http://www.fifa.com/associations/association=cub/development-activities/goal/index.html,Cuba,LATIN AMER. & CARIB,Technical centre,17.02.2004,Havana,Completion of the work initiated under Goal project I. The project includes: a lighting system and a training centre specifically for women,2,The objectives of this project are;-to provide the national training school with a lighting system;-to promote women’s football,400000,0,0,0,400000,400000,271,114,472,75,-39,201,CUB,2004
p162,http://www.fifa.com/associations/association=cub/development-activities/goal/index.html,Cuba,LATIN AMER. & CARIB,Headquarters,01.05.2001,Havana,"Upgrading of the existing headquarter offices. The project includes: a natural turf pitch, dormitories, medical equipment, and a conference room with library",1,The objectives of this project are;-to upgrade the existing building;-to deliver administrative offices befitting a football association,400000,0,0,0,400000,400000,271,114,472,75,-39,201,CUB,2001
p163,http://www.fifa.com/associations/association=cuw/development-activities/goal/index.html,Curacao,LATIN AMER. & CARIB,Technical centre,18.10.2011,Willemstad,"Completion of the technical centre. The project includes: spectator stands, changing rooms and bathrooms",4,The objectives of this project are;- to generate revenue to support the association’s development activities;- to complete and develop the previous projects carried out by the association and FIFA;-to establish better spectator seating,500000,0,136728,0,636728,NA,NA,NA,NA,NA,0,0,CUW,2011
p164,http://www.fifa.com/associations/association=cuw/development-activities/goal/index.html,Curacao,LATIN AMER. & CARIB,Football pitch,01.12.2009,Willemstad,Installation of an artificial turf pitch,3,The objective of this project is;- to maximise usage of the facility throughout the year and under all weather conditions,400000,145500,0,0,545500,545500,NA,NA,NA,NA,0,0,CUW,2009
p165,http://www.fifa.com/associations/association=cuw/development-activities/goal/index.html,Curacao,LATIN AMER. & CARIB,Technical centre,03.12.2006,Willemstad,"Construction of a fitness and health centre at the technical centre. The project includes: a gym, a physiotherapy room, a doctor’s office and a multifunctional room",2,The objectives of this project are;- to give players access to fitness training facilities;- to provide an area for physiotherapy treatment and doctor’s visits for national team and league players;- to generate revenue through limited rental of facilities to other sporting organisations,400000,0,0,0,400000,400000,NA,NA,NA,NA,0,0,CUW,2006
p166,http://www.fifa.com/associations/association=cuw/development-activities/goal/index.html,Curacao,LATIN AMER. & CARIB,Headquarters,04.03.2002,Willemstad,"Construction of administrative offices to be used as the association’s headquarters and technical centre. The project includes: offices, a conference room, a bathroom and a dormitory",1,The objectives of this project are;- to deliver headquarters and administrative offices befitting a football association;- to provide a basis for the training of the national teams;-to generate revenue through rental of facilities and gate receipts at matches;- to provide cost-effective and convenient accommodation for teams,400000,0,0,0,400000,400000,NA,NA,NA,NA,0,0,CUW,2002
p167,http://www.fifa.com/associations/association=cyp/development-activities/goal/index.html,Cyprus,NEAR EAST,IT projects,22.10.2008,,,2,,400000,0,0,0,400000,104090,376,89,500,67,-22,124,CYP,2008
p168,http://www.fifa.com/associations/association=cyp/development-activities/goal/index.html,Cyprus,NEAR EAST,Headquarters,01.05.2003,Nicosia,Construction of the association’s headquarters,1,The objectives of this project are;- to deliver headquarters and administrative offices befitting a football association;- to reduce costs,400000,0,925000,0,3325000,400000,376,89,500,67,-22,124,CYP,2003
p169,http://www.fifa.com/associations/association=cze/development-activities/goal/index.html,Czech Republic,EASTERN EUROPE,Headquarters,01.12.2009,Prague,"Construction work to complete the FSS headquarters and technical centre. The project includes: football pitches, lighting, accommodation and offices",2,The objective of this project is;- to establish a technical centre and headquarters at one site,400000,0,500000,0,3050000,NA,990,17,753,4,-13,-237,CZE,2009
p170,http://www.fifa.com/associations/association=cze/development-activities/goal/index.html,Czech Republic,EASTERN EUROPE,Headquarters,22.09.2004,Prague,Construction of the associations’ headquarters and technical centre,1,The objective of this project is;- to deliver headquarters and a technical centre befitting a football association,400000,0,500000,0,2150000,NA,990,17,753,4,-13,-237,CZE,2004
p171,http://www.fifa.com/associations/association=den/development-activities/goal/index.html,Denmark,WESTERN EUROPE,Technical centre,18.10.2011,Jutland,"Construction of a regional technical centre. The project includes: administrative offices, conference rooms and accommodation",3,The objectives of this project are;- to create a modern facility;- to develop regional football;- to organise courses and training sessions,500000,0,5300000,0,5800000,500000,846,28,639,20,-8,-207,DNK,2011
p172,http://www.fifa.com/associations/association=den/development-activities/goal/index.html,Denmark,WESTERN EUROPE,Football pitch,22.10.2008,"Qaqortoq, Greenland",Installation of an artificial turf pitch in Greenland. The project is supported by the danish federation,2,The objective of this project is;- to develop football in remote regions,398600,0,0,0,398600,398600,846,28,639,20,-8,-207,DNK,2008
p173,http://www.fifa.com/associations/association=den/development-activities/goal/index.html,Denmark,WESTERN EUROPE,Football pitch,17.02.2005,Copenhagen,Installation of an artificial turf pitch at the national headquarters,1,The objective of this project is;-to organise courses and educational activities in one venue,400000,83830,400000,0,883830,483830,846,28,639,20,-8,-207,DNK,2005
p174,http://www.fifa.com/associations/association=dji/development-activities/goal/index.html,Djibouti,SUB-SAHARAN AFRICA,Football pitch,03.09.2013,Ali Sabieh,"Football turf pitch in the city of Ali Sabieh, Djibouti ’s second-largest city situated 90km south of the capital Djibouti.",5,"1. To decentralise the high-quality footballing infrastructure in Djibouti;2. To develop grassroots football and make it possible to hold training sessions for 12- to 17-year-old boys and girls on a good pitch.;3. To help to reinforce football’s positive image in Djibouti;4. The pitch will be suitable for hosting the following competitions;- International competitions;- National competitions (first and second division matches as well as national cup matches);- Local competitions (junior, senior and women’s football matches)",500000,0,0,21426,500000,NA,4,206,65,192,-14,61,DJI,2013
p175,http://www.fifa.com/associations/association=dji/development-activities/goal/index.html,Djibouti,SUB-SAHARAN AFRICA,Other,26.10.2010,Djibouti,"Construction of a futsal complex in the national technical centre. The project includes: spectator stands, bathrooms, changing rooms and a storage room",4,The objectives of this project are;-to support futsal training courses;-to develop futsal at national and regional level together with Somalia and Eritrea,400000,0,0,0,400000,352961,4,206,65,192,-14,61,DJI,2010
p176,http://www.fifa.com/associations/association=dji/development-activities/goal/index.html,Djibouti,SUB-SAHARAN AFRICA,Headquarters,22.10.2008,Djibouti,"Construction work to complete the association’s headquarters. The project includes: offices, a conference room, a medical clinic and a gymnasium",3,The objectives of this project are;-to provide a venue for the education and development of youth players;-to provide an adequate infrastructure for technical staff;- to improve research and medical outcomes,400000,21752,0,0,421752,421745,4,206,65,192,-14,61,DJI,2008
p177,http://www.fifa.com/associations/association=dji/development-activities/goal/index.html,Djibouti,SUB-SAHARAN AFRICA,Football pitch,03.12.2006,Djibouti,Completion of the work initiated under Goal project I. Installation of an artificial turf pitch at the technical centre,2,The objectives of this project are;-to complete and develop the previous projects carried out by the association and FIFA;-to maximise usage of the facility throughout the year and under all weather conditions;-to allow usage of the facility by all age groups,400000,185000,0,0,585000,585000,4,206,65,192,-14,61,DJI,2006
p178,http://www.fifa.com/associations/association=dji/development-activities/goal/index.html,Djibouti,SUB-SAHARAN AFRICA,Headquarters,03.08.2000,Djibouti,Construction of the headquarters and technical centre,1,The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to enable the association to use the technical centre for the training of its various football teams,453743,130690,0,0,584433,584433,4,206,65,192,-14,61,DJI,2000
p179,http://www.fifa.com/associations/association=dma/development-activities/goal/index.html,Dominica,LATIN AMER. & CARIB,Technical centre,28.02.2011,St. George,"Completion of the work initiated under Goal project II. The project includes: concrete drainage, seating and lighting for the training centre",3,The objective of this project is;-to enable the association to use the technical centre for the integral formation of its different football teams,500000,24418,0,0,524418,52442,55,180,181,159,-21,126,DMA,2011
p180,http://www.fifa.com/associations/association=dma/development-activities/goal/index.html,Dominica,LATIN AMER. & CARIB,Football pitch,15.03.2006,St. George,"Completion of the work initiated under Goal project I with the installation of a football pitch. The project includes: external walls, lighting, fences, spectator stands, changing rooms and bathrooms",2,The objective of this project is;-to help the association to optimise the use of its technical centre,400000,0,0,0,400000,400000,55,180,181,159,-21,126,DMA,2006
p181,http://www.fifa.com/associations/association=dma/development-activities/goal/index.html,Dominica,LATIN AMER. & CARIB,Headquarters,04.07.2001,St. George,"Construction of the association’s headquarters. The project includes: offices, meeting rooms and accommodation",1,The objective of this project is;-to deliver headquarters and administrative offices befitting a football association,400000,15677,0,0,415677,415677,55,180,181,159,-21,126,DMA,2001
p182,http://www.fifa.com/associations/association=dom/development-activities/goal/index.html,Dominican Republic,LATIN AMER. & CARIB,Football academy,19.03.2014,,"Increase support for regional youth academies throughout the country (32 provinces, one academy in each province).",5,"ï Ensure the on-going development of talented grassroots and youth players.;ï Strengthen the national team and the clubs, and the position of FEDOFUTBOL as the leading authority in football academies.",500000,0,0,0,500000,NA,310,108,206,155,47,-104,DOM,2014
p183,http://www.fifa.com/associations/association=dom/development-activities/goal/index.html,Dominican Republic,LATIN AMER. & CARIB,Other,27.03.2012,San Cristobal,Construction of a futsal hall at the San Cristobal technical centre,4,The objectives of the project are;-to complete the technical centre with futsal facilities;-to train national teams for local and international competitions;-to host school events,500000,0,0,0,500000,263624,310,108,206,155,47,-104,DOM,2012
p184,http://www.fifa.com/associations/association=dom/development-activities/goal/index.html,Dominican Republic,LATIN AMER. & CARIB,Other,15.03.2010,San Cristobal & Santo Domingo,"Renovation of two stadiums: Parque del Este (in Santo Domingo) and Panamericano de San Cristobal. The project includes: new seating, a new football pitch, new lighting, and painting",3,The objectives of the project are;-to allow various national and international competitions to take place in the Dominican Republic;-to leverage the image of the stadiums in order to attract people and sponsors,400000,0,0,0,400000,400000,310,108,206,155,47,-104,DOM,2010
p185,http://www.fifa.com/associations/association=dom/development-activities/goal/index.html,Dominican Republic,LATIN AMER. & CARIB,Technical centre,15.03.2006,San Cristobal,"Completion of the work initiated under Goal project I. The project includes: dormitories, a medical clinic, dressing rooms, bathrooms and a football pitch",2,The objective of the project is;-to make the technical centre fully operational with all necessary facilities,400000,174453,135221,0,709674,574453,310,108,206,155,47,-104,DOM,2006
p186,http://www.fifa.com/associations/association=dom/development-activities/goal/index.html,Dominican Republic,LATIN AMER. & CARIB,Technical centre,04.07.2001,San Cristobal,Installation of a natural turf pitch and construction of a technical centre for the national teams that includes education and youth programmes,1,The objective of this project is;-to deliver headquarters and administrative offices befitting a football association,400000,30922,0,0,430922,430922,310,108,206,155,47,-104,DOM,2001
p187,http://www.fifa.com/associations/association=ecu/development-activities/goal/index.html,Ecuador,LATIN AMER. & CARIB,Technical centre,19.03.2014,Guayaquil,Construction (completion) of an infrastructure for education and capacity building in Guayaquil.,5,The objective of the facility is to enable the FEF;ï Provide high level education to football professionals.;ï Enable more football professionals to contribute to the development of football in Ecuador (technical and administrative).,500000,0,0,0,500000,NA,840,29,524,58,29,-316,ECU,2014
p188,http://www.fifa.com/associations/association=ecu/development-activities/goal/index.html,Ecuador,LATIN AMER. & CARIB,Technical centre,18.10.2011,Quito,Construction of a new building at the national technical centre. The project serves as a high-level technical institute,4,The objectives of this project are;-to enable the association to use the technical centre for the training of its various football teams and its technical staff;-to provide the association with its own facilities;-to gather all of the association’s activities in one place,500000,0,0,0,600000,451604,840,29,524,58,29,-316,ECU,2011
p189,http://www.fifa.com/associations/association=ecu/development-activities/goal/index.html,Ecuador,LATIN AMER. & CARIB,Technical centre,31.07.2010,Quito,"Construction of a futsal hall at the technical centre. The project includes: changing rooms, an office, spectator stands, bathrooms and a storage room",3,The objective of this project is;-to invest in the technical development of clubs and national teams,400000,0,50000,0,450000,399999,840,29,524,58,29,-316,ECU,2010
p190,http://www.fifa.com/associations/association=ecu/development-activities/goal/index.html,Ecuador,LATIN AMER. & CARIB,Technical centre,17.02.2005,Quito,"Construction of the technical centre in Quito. The project includes: changing rooms, fences and a parking area",2,The objective of this project is;-to enable the association to have its own facilities,400000,16000,2600000,0,3016000,416000,840,29,524,58,29,-316,ECU,2005
p191,http://www.fifa.com/associations/association=ecu/development-activities/goal/index.html,Ecuador,LATIN AMER. & CARIB,Headquarters,03.08.2000,Guayaquil,Construction of the headquarters and of the football institute,1,The objective of this project is;-to deliver headquarters and a technical centre befitting a football association,400000,523008,56000,0,979008,923008,840,29,524,58,29,-316,ECU,2000
p192,http://www.fifa.com/associations/association=egy/development-activities/goal/index.html,Egypt,NORTHERN AFRICA,Headquarters,18.03.2013,6th of October City.,Building of the HQ in the neighbourhood 6th of October City.,3,"Following the arson that badly damaged the national HQ due to recent protest for the Port Said events, the MA would like to relocate its HQ in a safer environment near the TC (Goal I and II). The aim of the project are the following;- Provide a safe, modern and more comfortable working space for the staff;- Integrate the existing technical infrastructure with the administrative one;- Give visibility to Egyptian football through infrastructure of good quality",500000,178998,0,0,678998,NA,590,57,586,31,-26,-4,EGY,2013
